ID;GAS360_INF;GAS360_SUP;OIL360_INF;OIL360_SUP
523;-1.48818316204111;1.22033145111901;0.241251241374983;2.82985015211289
473;-1.89813197561921;0.797346756172038;-1.39749056020403;1.17864961460976
774;-0.362957554201079;2.33838893557133;-0.650455602771722;1.93129254323215
269;-1.43774808442671;1.24539171814416;-1.78984649448125;0.774501039973742
496;-1.16992351663979;1.53208698147668;-0.497548088935241;2.08483466737045
698;-0.690586258085587;2.01335894491938;-2.17785691410884;0.406374890727969
605;-0.851523702285266;1.83524942340102;-1.60805623820247;0.959763759060451
66;-1.44320110786457;1.27878844526964;-2.16034382952743;0.441133437033144
70;-1.21405668052361;1.4803565129946;-1.93524318928144;0.63987862247847
450;-0.632405170845747;2.11996000445671;-2.57789504286334;0.0526130076094453
361;-1.72887865562473;0.978539942353638;-0.488473745657633;2.09907767444026
232;-1.35616105393412;1.33564687567297;-1.97791072788347;0.594721164387089
694;-1.18738790673313;1.53250924223526;-0.121477011367389;2.47800048930005
458;-1.47242022723855;1.21982804804997;-0.715760470379045;1.85729227188278
325;-0.729416494121601;1.96696291289198;-1.09864459932059;1.47835637457774
684;-1.08944496151631;1.59803463087063;-2.03924483841306;0.529250347723833
461;-1.18775676126271;1.51437354487451;-0.489255808138369;2.09324145185525
645;-0.591805766653877;2.14567998522794;-2.43040120044004;0.185886192306948
202;-0.786377262083319;1.91343800676603;-2.38979098095716;0.190493736791875
565;-2.85601027025455;-0.0555459660836866;-1.60979570964979;1.0666819479247
736;-1.29806407593885;1.45029613626155;-2.05353214885784;0.573148252661837
479;-1.26827919763552;1.4410700096822;-1.01120100645255;1.57819554795203
342;-0.331709359142792;2.36834430428579;-1.52812193320512;1.05239062453604
285;-1.47618402573597;1.21405982020709;-2.16329001523294;0.407847040993782
445;-1.08118025736111;1.61824049671746;-2.48926718329262;0.09064048627622
182;-1.34337627180429;1.36826495004157;-2.08083159890769;0.510755494282282
760;-0.995504217996448;1.69383746301468;-1.95777213016139;0.612502703226012
609;-0.994422470528667;1.70804989612214;-2.48363781237459;0.0991863638810178
194;-0.0355599844136441;2.68486214024356;-2.73013212632212;-0.130152892531429
632;-2.04160343929387;0.662075246649351;-1.63030315973767;0.953673927708143
660;-1.68695157837378;0.991581098136565;-0.675571596133167;1.8843727863344
365;-0.0206326564997901;2.68327256473394;-1.12558829277082;1.45860530043184
629;-1.8208855804067;0.909960880631867;-1.1901675295312;1.41977451770375
130;-1.77540862931287;0.909799634085454;-1.39471999479319;1.17160442227445
555;-0.883446905478348;1.82410621734408;-0.188469326386772;2.39921066265555
143;-3.07765981366078;-0.341846298567367;-1.28163713801438;1.33305205389296
507;-1.78987948531386;0.914610970349869;-0.493436231662572;2.09131668553291
279;-1.47296281561404;1.21846731577418;-0.882502924957987;1.68976789558229
151;-0.414836600489721;2.29829952914451;-1.68366560297673;0.909350213046721
685;-2.31001209292995;0.416274773990532;-1.29961654776021;1.30596777501937
371;-1.27412296654882;1.41517903387229;-0.341458661008397;2.2287782485917
396;-2.06888885920914;0.617481460644249;-1.21081214000933;1.35662288508648
252;-1.18014976886393;1.51842089571641;-1.8487705893169;0.730324627279209
168;-1.37322720572339;1.33386306079282;-0.785695386014335;1.80154223903842
314;-0.822353029211653;1.87165103417146;-2.09807983375164;0.476650961538606
392;-0.556945164212733;2.13790672700262;-1.63362601254651;0.941915074182582
219;-1.1361860231201;1.56539702404251;-1.8802691062928;0.701705123853145
561;-2.04177600305949;0.637733785203391;-1.07607145217171;1.48480678178996
329;-0.918414756135469;1.77246909389401;-1.9309361968468;0.64081252817909
149;-0.888123067948502;1.8035215760419;-1.05829775601804;1.51417807987851
111;-1.09038727290551;1.62911290251828;-1.46807519743792;1.13102290513429
560;-2.37501245835556;0.3177698199632;-1.09740441340492;1.47615868964865
17;-1.58551157755499;1.11225485425249;-0.269379425290985;2.30894716481529
304;-0.490881202799666;2.22157737269269;-1.84050089652805;0.751867363117052
